Name,2014,2015,2016,2017
SATS LTD - RETURN ON ASSETS,9.18,9.84,10.83,11.88
SATS LTD - TOTAL DEBT % COMMON EQUITY,8.06,7.3,7.43,6.77
SATS LTD - PRICE TO BOOK VAL,2.48,2.52,3.09,3.61
SEMBCORP INDUSTRIES - RETURN ON ASSETS,5.51,4.07,3.08,1.98
SEMBCORP INDUSTRIES - TOTAL DEBT % COMMON EQUITY,91.2,135.62,169.95,181.88
SEMBCORP INDUSTRIES - PRICE TO BOOK VAL,1.8,1.32,0.85,0.94
SINGAPORE PRESS HLDG - RETURN ON ASSETS,6.6,5.43,4.8,6.2
SINGAPORE PRESS HLDG - TOTAL DEBT % COMMON EQUITY,48.97,35.48,36.88,42.99
SINGAPORE PRESS HLDG - PRICE TO BOOK VAL,1.87,1.86,1.81,1.53
SIA ENGINEERING CO - RETURN ON ASSETS,15.92,10.91,10.17,17.81
SIA ENGINEERING CO - TOTAL DEBT % COMMON EQUITY,1.61,2.51,2.24,1.67
SIA ENGINEERING CO - PRICE TO BOOK VAL,4.19,3.04,2.72,2.96
SBS TRANSIT LTD - RETURN ON ASSETS,1.69,1.93,3.4,4.85
SBS TRANSIT LTD - TOTAL DEBT % COMMON EQUITY,155.61,99.65,51.68,40.29
SBS TRANSIT LTD - PRICE TO BOOK VAL,1.4,1.69,1.72,1.88
HONG LEONG FINANCE - RETURN ON ASSETS,0.52,0.57,0.41,0.69
HONG LEONG FINANCE - TOTAL DEBT % COMMON EQUITY,0,0,0,0
HONG LEONG FINANCE - PRICE TO BOOK VAL,0.73,0.68,0.6,0.66
SINGAPORE POST LTD - RETURN ON ASSETS,10.19,8.17,10.99,1.08
SINGAPORE POST LTD - TOTAL DEBT % COMMON EQUITY,167.5,52.38,52.1,52.29
SINGAPORE POST LTD - PRICE TO BOOK VAL,2.88,3.36,2.64,2.11
SINGAPORE EXCHANGE - RETURN ON ASSETS,18.65,20.25,17.87,16.38
SINGAPORE EXCHANGE - TOTAL DEBT % COMMON EQUITY,0,0,0,0
SINGAPORE EXCHANGE - PRICE TO BOOK VAL,8.04,9.55,8.1,7.48
PARAGON REIT - RETURN ON ASSETS,NA,5.33,4.52,5.39
PARAGON REIT - TOTAL DEBT % COMMON EQUITY,35.83,35.24,35.41,35
PARAGON REIT - PRICE TO BOOK VAL,1.08,1.13,0.99,1.05
SHENG SIONG - RETURN ON ASSETS,16.05,15.93,16.58,17.64
SHENG SIONG - TOTAL DEBT % COMMON EQUITY,0,0,0,0
SHENG SIONG - PRICE TO BOOK VAL,3.91,5.54,5.28,5.42
STARHUB LTD - RETURN ON ASSETS,20.1,19.88,17.69,12.03
STARHUB LTD - TOTAL DEBT % COMMON EQUITY,461.41,366.47,506.67,837.41
STARHUB LTD - PRICE TO BOOK VAL,48.08,38.08,30.58,33.2
SINGAPORE TECH - RETURN ON ASSETS,6.69,6.9,6.35,6.56
SINGAPORE TECH - TOTAL DEBT % COMMON EQUITY,47.77,55.97,49.5,49.82
SINGAPORE TECH - PRICE TO BOOK VAL,5.53,5.23,4.5,5.08
SUNTEC REAL ESTATE - RETURN ON ASSETS,4.59,4.93,3.64,3.25
SUNTEC REAL ESTATE - TOTAL DEBT % COMMON EQUITY,56.18,59.01,60.45,57.29
SUNTEC REAL ESTATE - PRICE TO BOOK VAL,0.84,0.84,0.75,0.83
SINGAPORE TELECOM - RETURN ON ASSETS,10,10.06,9.82,9.11
SINGAPORE TELECOM - TOTAL DEBT % COMMON EQUITY,33.69,36.3,39.82,39.68
SINGAPORE TELECOM - PRICE TO BOOK VAL,2.49,2.71,2.22,2.05
THAI BEVERAGE - RETURN ON ASSETS,12.94,15.63,14.13,18.53
THAI BEVERAGE - TOTAL DEBT % COMMON EQUITY,49.15,38.42,38.64,31.87
THAI BEVERAGE - PRICE TO BOOK VAL,3.69,4.12,4.65,4.14
SINGAPORE LAND - RETURN ON ASSETS,4.86,3.19,3.42,3.69
SINGAPORE LAND - TOTAL DEBT % COMMON EQUITY,29.27,23.61,19.92,8.13
SINGAPORE LAND - PRICE TO BOOK VAL,0.82,0.8,0.64,0.69
UOL GROUP LTD - RETURN ON ASSETS,6.36,3.57,2.68,5.92
UOL GROUP LTD - TOTAL DEBT % COMMON EQUITY,39.63,32.56,29.65,40.73
UOL GROUP LTD - PRICE TO BOOK VAL,0.69,0.76,0.57,0.61
UNITED OVERSEAS BANK - RETURN ON ASSETS,1.1,1.03,0.94,0.97
UNITED OVERSEAS BANK - TOTAL DEBT % COMMON EQUITY,125.86,119.11,131.96,118.95
UNITED OVERSEAS BANK - PRICE TO BOOK VAL,1.32,1.34,0.95,1.14
VENTURE CORP - RETURN ON ASSETS,5.68,6.22,6.88,12.69
VENTURE CORP - TOTAL DEBT % COMMON EQUITY,9.07,7.13,4.73,1.42
VENTURE CORP - PRICE TO BOOK VAL,1.06,1.17,1.17,1.68
WING TAI HLDGS LTD - RETURN ON ASSETS,5.78,3.88,1.07,1.29
WING TAI HLDGS LTD - TOTAL DEBT % COMMON EQUITY,43.85,37.54,44.08,34.24
WING TAI HLDGS LTD - PRICE TO BOOK VAL,0.52,0.48,0.43,0.45
YANLORD LAND GRP - RETURN ON ASSETS,2.33,2.17,3.34,3.47
YANLORD LAND GRP - TOTAL DEBT % COMMON EQUITY,103.29,89.8,107.69,145.76
YANLORD LAND GRP - PRICE TO BOOK VAL,0.53,0.57,0.53,0.77
ACCTON TECHNOLOGY - RETURN ON ASSETS,4.72,8.05,11.63,14.14
ACCTON TECHNOLOGY - TOTAL DEBT % COMMON EQUITY,1.26,0,0,0
ACCTON TECHNOLOGY - PRICE TO BOOK VAL,1.26,1.01,2.44,3.75
ASIA CEMENT - RETURN ON ASSETS,3.93,2.19,2.02,2.83
ASIA CEMENT - TOTAL DEBT % COMMON EQUITY,70.05,69.91,64.16,63.57
ASIA CEMENT - PRICE TO BOOK VAL,0.92,0.96,0.65,0.73
AUO CORP - RETURN ON ASSETS,4.59,1.53,2.29,8.13
AUO CORP - TOTAL DEBT % COMMON EQUITY,78.84,60.03,68.85,54.78
AUO CORP - PRICE TO BOOK VAL,0.6,0.85,0.45,0.55
ADVANTECH CO LTD - RETURN ON ASSETS,16.74,15.7,15.78,15.72
ADVANTECH CO LTD - TOTAL DEBT % COMMON EQUITY,0.01,3.78,1.92,0.44
ADVANTECH CO LTD - PRICE TO BOOK VAL,5.29,6.68,5.65,5.53
#ERROR,"$$ER: 4540,NO DATA VALUES FOUND",,,
ASE TECHNOLOGY - TOTAL DEBT % COMMON EQUITY,NA,NA,NA,40.1
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
QISDA CORP - RETURN ON ASSETS,3.9,2.76,5.05,5.85
QISDA CORP - TOTAL DEBT % COMMON EQUITY,126.73,117.69,76.77,100.23
QISDA CORP - PRICE TO BOOK VAL,0.73,0.97,0.67,1.27
ASIA PACIFIC TELE - RETURN ON ASSETS,-21.02,-3.81,-12.67,-11.39
ASIA PACIFIC TELE - TOTAL DEBT % COMMON EQUITY,0,0,0,0
ASIA PACIFIC TELE - PRICE TO BOOK VAL,1.79,1.31,1.25,1.33
ACER INC - RETURN ON ASSETS,1.18,0.47,-2.77,1.86
ACER INC - TOTAL DEBT % COMMON EQUITY,28.09,15.72,10.58,11.31
ACER INC - PRICE TO BOOK VAL,0.87,0.84,0.59,0.84
ASMEDIA TECH - RETURN ON ASSETS,16.79,13.73,19.76,20.43
ASMEDIA TECH - TOTAL DEBT % COMMON EQUITY,0,0,0,0
ASMEDIA TECH - PRICE TO BOOK VAL,5.35,6.92,5.06,10.48
ASUSTEK COMPUTER INC - RETURN ON ASSETS,6.21,5.19,5.66,4.53
ASUSTEK COMPUTER INC - TOTAL DEBT % COMMON EQUITY,3.34,2.38,2.34,3.86
ASUSTEK COMPUTER INC - PRICE TO BOOK VAL,1.4,1.34,1.04,1.2
CHINA AIRLINES LTD - RETURN ON ASSETS,0.59,3.33,0.49,1.44
CHINA AIRLINES LTD - TOTAL DEBT % COMMON EQUITY,268.4,189.58,210.51,197.9
CHINA AIRLINES LTD - PRICE TO BOOK VAL,1.1,1.38,0.99,0.88
CHIPBOND TECH CORP - RETURN ON ASSETS,7.01,5.69,5.76,6.66
CHIPBOND TECH CORP - TOTAL DEBT % COMMON EQUITY,52.51,45.03,25.11,20.92
CHIPBOND TECH CORP - PRICE TO BOOK VAL,1.44,2.07,1.09,1.19
CHENG UEI PRECISION - RETURN ON ASSETS,2.92,2.59,1.4,2.08
CHENG UEI PRECISION - TOTAL DEBT % COMMON EQUITY,62.51,71.49,67.31,60.04
CHENG UEI PRECISION - PRICE TO BOOK VAL,1.14,1.16,0.88,0.96
CATHAY FINANCIAL - RETURN ON ASSETS,0.98,1,0.8,0.86
CATHAY FINANCIAL - TOTAL DEBT % COMMON EQUITY,66.12,44.85,45.05,65.66
CATHAY FINANCIAL - PRICE TO BOOK VAL,1.38,1.53,0.86,1.15
KGI FINANCIAL - RETURN ON ASSETS,1.48,1.01,0.71,0.73
KGI FINANCIAL - TOTAL DEBT % COMMON EQUITY,134.65,116.98,131.97,122.44
KGI FINANCIAL - PRICE TO BOOK VAL,0.78,1.09,0.69,0.71
CHANG HWA BANK - RETURN ON ASSETS,0.62,0.63,0.62,0.6
CHANG HWA BANK - TOTAL DEBT % COMMON EQUITY,149.4,129.53,126.16,105.56
CHANG HWA BANK - PRICE TO BOOK VAL,1.15,1.09,0.98,1.13
CHUNGHWA TELECOM - RETURN ON ASSETS,8.74,9.56,8.95,8.71
CHUNGHWA TELECOM - TOTAL DEBT % COMMON EQUITY,0.68,0.5,0.48,0.46
CHUNGHWA TELECOM - PRICE TO BOOK VAL,2.02,2.07,2.34,2.24
CTBC FINANCIAL HOLD - RETURN ON ASSETS,1.43,0.95,0.65,0.79
CTBC FINANCIAL HOLD - TOTAL DEBT % COMMON EQUITY,127.24,92.13,91.13,103.68
CTBC FINANCIAL HOLD - PRICE TO BOOK VAL,1.2,1.39,1.04,1.18
CHICONY ELECTRONICS - RETURN ON ASSETS,7.67,6.76,5.84,6.25
CHICONY ELECTRONICS - TOTAL DEBT % COMMON EQUITY,13.6,21.74,18.43,25.54
CHICONY ELECTRONICS - PRICE TO BOOK VAL,2.34,2.56,2.03,2.31
CLEVO CO - RETURN ON ASSETS,2.73,1.37,0.95,1.08
CLEVO CO - TOTAL DEBT % COMMON EQUITY,85.59,106.31,108.74,110.27
CLEVO CO - PRICE TO BOOK VAL,0.73,0.55,0.37,0.41
CHAILEASE HOLDING - RETURN ON ASSETS,4.67,4.17,3.93,4.39
CHAILEASE HOLDING - TOTAL DEBT % COMMON EQUITY,494.4,505.8,523.76,424.79
CHAILEASE HOLDING - PRICE TO BOOK VAL,2.09,2.28,1.44,1.84
CHROMA ATE INC - RETURN ON ASSETS,9.78,8.26,10.23,12.82
CHROMA ATE INC - TOTAL DEBT % COMMON EQUITY,31.41,36.91,35.58,21.53
CHROMA ATE INC - PRICE TO BOOK VAL,3.11,2.79,2.73,2.84
CHINA MOTOR - RETURN ON ASSETS,4.28,5.16,5.16,6.59
CHINA MOTOR - TOTAL DEBT % COMMON EQUITY,1.69,1.76,1.74,1.68
CHINA MOTOR - PRICE TO BOOK VAL,0.81,0.74,0.64,0.75
CMC MAGNETICS CORP - RETURN ON ASSETS,-3.63,-6.86,-7.05,-3.7
CMC MAGNETICS CORP - TOTAL DEBT % COMMON EQUITY,27.99,25.91,26.16,19.07
CMC MAGNETICS CORP - PRICE TO BOOK VAL,0.43,0.38,0.31,0.36
CHINA LIFE INSURAN - RETURN ON ASSETS,0.63,0.8,0.75,0.65
CHINA LIFE INSURAN - TOTAL DEBT % COMMON EQUITY,0,0,0.24,0.16
CHINA LIFE INSURAN - PRICE TO BOOK VAL,1.21,1.32,0.99,1.24
COMPAL ELECTRONIC - RETURN ON ASSETS,2.2,2.66,2.63,1.9
COMPAL ELECTRONIC - TOTAL DEBT % COMMON EQUITY,70.01,55.94,71.27,82.41
COMPAL ELECTRONIC - PRICE TO BOOK VAL,0.99,1.08,0.74,0.89
CHINA PETROCHEMICAL - RETURN ON ASSETS,0.5,0.27,-2.16,7.94
CHINA PETROCHEMICAL - TOTAL DEBT % COMMON EQUITY,17.45,16.75,22.21,6.13
CHINA PETROCHEMICAL - PRICE TO BOOK VAL,0.48,0.47,0.34,0.49
CAPITAL SECURITIES - RETURN ON ASSETS,2.72,1.96,1.44,2.8
CAPITAL SECURITIES - TOTAL DEBT % COMMON EQUITY,62.76,83.75,132.77,185.34
CAPITAL SECURITIES - PRICE TO BOOK VAL,0.8,0.81,0.6,0.68
CHENG SHIN RUBBER - RETURN ON ASSETS,10.22,8.06,8.38,3.71
CHENG SHIN RUBBER - TOTAL DEBT % COMMON EQUITY,63.84,59.85,63.87,88.64
CHENG SHIN RUBBER - PRICE TO BOOK VAL,2.95,2.55,2.48,2.35
CHINA STEEL CORP - RETURN ON ASSETS,3.75,1.57,2.89,3.03
CHINA STEEL CORP - TOTAL DEBT % COMMON EQUITY,90.79,100.95,91.32,85.05
CHINA STEEL CORP - PRICE TO BOOK VAL,1.24,1.34,1.01,1.25
MEGA FINANCIAL - RETURN ON ASSETS,0.98,NA,0.69,0.77
MEGA FINANCIAL - TOTAL DEBT % COMMON EQUITY,317.15,249.11,250.86,243.2
MEGA FINANCIAL - PRICE TO BOOK VAL,1.12,1.27,1.07,1.12
CATCHER TECHNOLOGY - RETURN ON ASSETS,15.09,16.75,12.7,11.27
CATCHER TECHNOLOGY - TOTAL DEBT % COMMON EQUITY,16.19,19.86,31.49,36.1
CATCHER TECHNOLOGY - PRICE TO BOOK VAL,2.14,2.33,1.45,1.85
CORETRONIC CORP - RETURN ON ASSETS,5.23,3.69,3.92,3.7
CORETRONIC CORP - TOTAL DEBT % COMMON EQUITY,21.48,24.22,30.75,40.33
CORETRONIC CORP - PRICE TO BOOK VAL,1.03,0.92,0.73,0.84
DELTA ELECTRONIC IND - RETURN ON ASSETS,10.16,8.74,8.48,7.87
DELTA ELECTRONIC IND - TOTAL DEBT % COMMON EQUITY,31.36,12.19,17,23.07
DELTA ELECTRONIC IND - PRICE TO BOOK VAL,4.48,3.58,2.89,3.46
EVA AIRWAYS CORP - RETURN ON ASSETS,0.17,4.55,2.4,3.36
EVA AIRWAYS CORP - TOTAL DEBT % COMMON EQUITY,247.26,181.82,180.34,169.27
EVA AIRWAYS CORP - PRICE TO BOOK VAL,1.4,1.72,1.04,1.02
ECLAT TEXTILE CO - RETURN ON ASSETS,22.11,25.84,19.64,15.42
ECLAT TEXTILE CO - TOTAL DEBT % COMMON EQUITY,24.51,20.07,10.65,9.83
ECLAT TEXTILE CO - PRICE TO BOOK VAL,8.05,9.72,5.26,5.53
EVERGREEN INTL STOR - RETURN ON ASSETS,2.49,2.87,2.78,3.08
EVERGREEN INTL STOR - TOTAL DEBT % COMMON EQUITY,31.35,38.08,33.72,31.52
EVERGREEN INTL STOR - PRICE TO BOOK VAL,0.97,0.85,0.62,0.67
EVERLIGHT ELECTRONIC - RETURN ON ASSETS,6.38,5.39,5.14,3.52
EVERLIGHT ELECTRONIC - TOTAL DEBT % COMMON EQUITY,27.6,52.27,49.2,53.98
EVERLIGHT ELECTRONIC - PRICE TO BOOK VAL,1.68,1.72,1.14,1.2
ELITE MATERIAL CO - RETURN ON ASSETS,10.1,14.06,15.14,14.11
ELITE MATERIAL CO - TOTAL DEBT % COMMON EQUITY,28.73,15.96,12.87,12.39
ELITE MATERIAL CO - PRICE TO BOOK VAL,1.09,1.85,1.92,3.37
E SUN FINANCIAL HLDG - RETURN ON ASSETS,NA,0.82,0.76,0.78
E SUN FINANCIAL HLDG - TOTAL DEBT % COMMON EQUITY,116.14,110.4,90.64,85.72
E SUN FINANCIAL HLDG - PRICE TO BOOK VAL,1.16,1.23,1.07,1.19
ETERNAL MATERIAL - RETURN ON ASSETS,5.63,6.54,5.81,4.31
ETERNAL MATERIAL - TOTAL DEBT % COMMON EQUITY,74.85,78.85,98.56,123.04
ETERNAL MATERIAL - PRICE TO BOOK VAL,1.46,1.57,1.6,1.74
EVERGREEN MARINE - RETURN ON ASSETS,0.84,-1.8,-2.81,4.24
EVERGREEN MARINE - TOTAL DEBT % COMMON EQUITY,156.93,184.09,215.54,159.65
EVERGREEN MARINE - PRICE TO BOOK VAL,0.99,1.16,0.76,0.85
FAR EAST DEPT STORES - RETURN ON ASSETS,1.67,1.85,1.36,1.75
FAR EAST DEPT STORES - TOTAL DEBT % COMMON EQUITY,110.47,115,120.49,115.03
FAR EAST DEPT STORES - PRICE TO BOOK VAL,1.18,1.09,0.81,0.76
FAR EASTONE TELECOM - RETURN ON ASSETS,9.73,9.15,8.77,8.52
FAR EASTONE TELECOM - TOTAL DEBT % COMMON EQUITY,34.32,57.45,54.06,54.67
FAR EASTONE TELECOM - PRICE TO BOOK VAL,2.93,3.32,3.44,3.56
FAR EASTERN INT'L BK - RETURN ON ASSETS,0.81,0.81,0.66,0.57
FAR EASTERN INT'L BK - TOTAL DEBT % COMMON EQUITY,114.08,95.57,110.99,93.72
FAR EASTERN INT'L BK - PRICE TO BOOK VAL,0.81,0.82,0.68,0.69
FENG TAY ENTERPRIS - RETURN ON ASSETS,13.59,16.1,15.31,14.6
FENG TAY ENTERPRIS - TOTAL DEBT % COMMON EQUITY,30.75,20.75,20.27,26.4
FENG TAY ENTERPRIS - PRICE TO BOOK VAL,4.2,7.45,5.51,5.81
FAR EASTERN - RETURN ON ASSETS,2.61,1.95,1.61,2
FAR EASTERN - TOTAL DEBT % COMMON EQUITY,85.78,98.18,102.59,99.57
FAR EASTERN - PRICE TO BOOK VAL,0.8,0.92,0.63,0.66
FENG HSIN STEEL - RETURN ON ASSETS,8.65,10.53,9.48,13.67
FENG HSIN STEEL - TOTAL DEBT % COMMON EQUITY,3.53,1.31,2.14,0.9
FENG HSIN STEEL - PRICE TO BOOK VAL,1.64,1.48,1.44,1.69
FIRST FINAN HLDG CO - RETURN ON ASSETS,0.64,0.69,0.72,0.62
FIRST FINAN HLDG CO - TOTAL DEBT % COMMON EQUITY,126.68,102.51,101.13,115.22
FIRST FINAN HLDG CO - PRICE TO BOOK VAL,1.01,1.08,0.96,1.19
FORMOSA INTL HOTELS - RETURN ON ASSETS,16.21,15.73,13.17,14.75
FORMOSA INTL HOTELS - TOTAL DEBT % COMMON EQUITY,46.84,45.29,43.13,42.66
FORMOSA INTL HOTELS - PRICE TO BOOK VAL,10.34,9.51,6.57,5.62
FOXCONN TECHNOLOGY - RETURN ON ASSETS,8.5,9.8,7.99,5.63
FOXCONN TECHNOLOGY - TOTAL DEBT % COMMON EQUITY,15.1,0.23,7.33,17.32
FOXCONN TECHNOLOGY - PRICE TO BOOK VAL,1.12,1.5,0.93,0.92
FORMOSA CHEMICALS - RETURN ON ASSETS,2.44,5.7,8.66,10.15
FORMOSA CHEMICALS - TOTAL DEBT % COMMON EQUITY,57.19,46.03,37.63,28.17
FORMOSA CHEMICALS - PRICE TO BOOK VAL,1.5,1.63,1.48,1.46
FORMOSA PETROCHE - RETURN ON ASSETS,2.54,11.13,17.8,18.55
FORMOSA PETROCHE - TOTAL DEBT % COMMON EQUITY,80.16,46.01,30.8,12.93
FORMOSA PETROCHE - PRICE TO BOOK VAL,2.92,2.81,2.68,2.92
FORMOSA PLASTIC - RETURN ON ASSETS,4.63,7.54,9.28,10.94
FORMOSA PLASTIC - TOTAL DEBT % COMMON EQUITY,35.73,29.25,29.76,21.62
FORMOSA PLASTIC - PRICE TO BOOK VAL,1.7,1.74,1.55,1.62
YUANTA FINANCIAL - RETURN ON ASSETS,NA,0.89,0.81,0.8
YUANTA FINANCIAL - TOTAL DEBT % COMMON EQUITY,102.39,153.6,184.65,186.07
YUANTA FINANCIAL - PRICE TO BOOK VAL,0.88,1.01,0.6,0.72
FORMOSA TAFFETA CO - RETURN ON ASSETS,4.94,3.89,4.24,4.77
FORMOSA TAFFETA CO - TOTAL DEBT % COMMON EQUITY,29.26,29.77,23.41,22.09
FORMOSA TAFFETA CO - PRICE TO BOOK VAL,1.06,1.13,0.73,0.75
FUBON FINANCIAL - RETURN ON ASSETS,1.66,1.52,1.14,1.2
FUBON FINANCIAL - TOTAL DEBT % COMMON EQUITY,104.64,107.35,90.34,110.9
FUBON FINANCIAL - PRICE TO BOOK VAL,1.16,1.67,0.85,1.03
GIANT MANUFACTURING - RETURN ON ASSETS,9.96,8.81,7.05,4.73
GIANT MANUFACTURING - TOTAL DEBT % COMMON EQUITY,57.65,55.78,54.51,63.19
GIANT MANUFACTURING - PRICE TO BOOK VAL,4.49,4.91,3.36,3.38
GLOBALWAFERS CO LTD - RETURN ON ASSETS,9.97,9.08,2.39,8.65
GLOBALWAFERS CO LTD - TOTAL DEBT % COMMON EQUITY,16.23,4.24,173.89,42.41
GLOBALWAFERS CO LTD - PRICE TO BOOK VAL,NA,1.95,1.55,3.02
HANNSTAR DISPLAY - RETURN ON ASSETS,1.35,-5.06,9.81,14.39
HANNSTAR DISPLAY - TOTAL DEBT % COMMON EQUITY,8.15,6.42,4.56,2.48
HANNSTAR DISPLAY - PRICE TO BOOK VAL,0.93,0.65,0.3,0.61
HTC CORPORATION - RETURN ON ASSETS,0.94,-11.25,-9.82,-22.23
HTC CORPORATION - TOTAL DEBT % COMMON EQUITY,0,0,0,0
HTC CORPORATION - PRICE TO BOOK VAL,1.7,1.32,0.99,1.72
HIWIN TECHNOLOGIES - RETURN ON ASSETS,8.8,5.65,4.46,8.12
HIWIN TECHNOLOGIES - TOTAL DEBT % COMMON EQUITY,93.33,102.02,98.4,84.65
HIWIN TECHNOLOGIES - PRICE TO BOOK VAL,5.85,4.55,2.44,3.37
HUA NAN FINANCIAL - RETURN ON ASSETS,0.6,0.61,0.58,0.47
HUA NAN FINANCIAL - TOTAL DEBT % COMMON EQUITY,131.33,114.35,146.5,125.8
HUA NAN FINANCIAL - PRICE TO BOOK VAL,1.09,1.13,0.98,1.1
HIGHWEALTH CONSTR - RETURN ON ASSETS,9.95,7.5,6.06,2.18
HIGHWEALTH CONSTR - TOTAL DEBT % COMMON EQUITY,163.7,140.07,160.38,235.51
HIGHWEALTH CONSTR - PRICE TO BOOK VAL,1.33,1.95,1.55,1.86
HOU HAI PRECISION - RETURN ON ASSETS,5.99,6.8,6.94,5.61
HOU HAI PRECISION - TOTAL DEBT % COMMON EQUITY,44.46,29.27,39.7,61.31
HOU HAI PRECISION - PRICE TO BOOK VAL,1.29,1.44,1.08,1.62
HOTAI MOTOR COMPANY - RETURN ON ASSETS,6.74,6.29,7,5.96
HOTAI MOTOR COMPANY - TOTAL DEBT % COMMON EQUITY,228.96,225.25,220.01,230.08
HOTAI MOTOR COMPANY - PRICE TO BOOK VAL,5.43,7.05,3.69,4.3
INNOLUX CORP - RETURN ON ASSETS,5.21,2.88,0.6,9.82
INNOLUX CORP - TOTAL DEBT % COMMON EQUITY,57.53,25.83,24.82,10.68
INNOLUX CORP - PRICE TO BOOK VAL,0.5,0.76,0.41,0.51
INVENTEC CORP - RETURN ON ASSETS,3.88,3.34,3.38,3.88
INVENTEC CORP - TOTAL DEBT % COMMON EQUITY,55.75,34.18,34.78,73.56
INVENTEC CORP - PRICE TO BOOK VAL,1.7,1.41,1.36,1.48
CTCI CORP - RETURN ON ASSETS,3.73,3.64,3.64,4.28
CTCI CORP - TOTAL DEBT % COMMON EQUITY,21.09,42.37,25.2,49.04
CTCI CORP - PRICE TO BOOK VAL,2.2,2.31,2.06,2.11
KINSUS INTERCONNECT - RETURN ON ASSETS,9.26,7.06,5.46,1.3
KINSUS INTERCONNECT - TOTAL DEBT % COMMON EQUITY,14.49,17.73,14.8,19.84
KINSUS INTERCONNECT - PRICE TO BOOK VAL,2.1,1.44,1.05,1.26
KING YUAN ELECTRO - RETURN ON ASSETS,7.07,6.12,7.54,5.66
KING YUAN ELECTRO - TOTAL DEBT % COMMON EQUITY,55.69,63.04,64.51,47.93
KING YUAN ELECTRO - PRICE TO BOOK VAL,1.29,1.4,1.37,1.43
LITEON TECHNOLOGY - RETURN ON ASSETS,3.28,3.64,4.74,1.57
LITEON TECHNOLOGY - TOTAL DEBT % COMMON EQUITY,60.05,51.22,45.2,42.8
LITEON TECHNOLOGY - PRICE TO BOOK VAL,1.44,1.17,1.25,1.65
LARGAN PRECISION CO - RETURN ON ASSETS,39.24,33.47,25.21,24.47
LARGAN PRECISION CO - TOTAL DEBT % COMMON EQUITY,0.41,0.25,0.05,0.43
LARGAN PRECISION CO - PRICE TO BOOK VAL,5.69,7.05,4.62,6.98
MACRONIX INT'L - RETURN ON ASSETS,-12.74,-9.64,0.17,14.75
MACRONIX INT'L - TOTAL DEBT % COMMON EQUITY,71.82,76.47,56.32,32.6
MACRONIX INT'L - PRICE TO BOOK VAL,1.07,1.38,0.54,2.07
MEDIATEK INC - RETURN ON ASSETS,15.48,7.59,6.76,6.64
MEDIATEK INC - TOTAL DEBT % COMMON EQUITY,18.69,20.46,22.45,24.9
MEDIATEK INC - PRICE TO BOOK VAL,3.11,2.6,1.3,1.29
MERRY ELECTRONICS - RETURN ON ASSETS,12.95,6.23,15.29,17.52
MERRY ELECTRONICS - TOTAL DEBT % COMMON EQUITY,0,27.48,26.77,15.96
MERRY ELECTRONICS - PRICE TO BOOK VAL,5.18,2.05,1.73,2.66
MERIDA INDUSTRY CO - RETURN ON ASSETS,16.76,13.97,8.87,3.86
MERIDA INDUSTRY CO - TOTAL DEBT % COMMON EQUITY,12.42,13.07,12.52,15.47
MERIDA INDUSTRY CO - PRICE TO BOOK VAL,4.85,5.14,3.05,3.97
FARGLORY LAND - RETURN ON ASSETS,5.63,6.92,4.04,2.56
FARGLORY LAND - TOTAL DEBT % COMMON EQUITY,77.79,77.47,68.76,72.74
FARGLORY LAND - PRICE TO BOOK VAL,1.05,0.77,0.69,0.81
MOTECH IND INC - RETURN ON ASSETS,-3.29,-1.43,-2.09,-9.03
MOTECH IND INC - TOTAL DEBT % COMMON EQUITY,69.29,79.89,83.42,97.76
MOTECH IND INC - PRICE TO BOOK VAL,1.61,1.13,1.21,1.2
MAKALOT INDUSTRIAL - RETURN ON ASSETS,15.93,17.16,11.65,10.31
MAKALOT INDUSTRIAL - TOTAL DEBT % COMMON EQUITY,4.91,2.59,6.46,3.31
MAKALOT INDUSTRIAL - PRICE TO BOOK VAL,3.42,5.66,3.67,3.42
MICRO-STAR INT'L - RETURN ON ASSETS,6.97,8.05,10.15,9.99
MICRO-STAR INT'L - TOTAL DEBT % COMMON EQUITY,8.79,2.38,0.08,0.06
MICRO-STAR INT'L - PRICE TO BOOK VAL,1.39,1.15,1.58,2.13
NAN KANG RUBBER TIRE - RETURN ON ASSETS,2,4.08,4.72,3.1
NAN KANG RUBBER TIRE - TOTAL DEBT % COMMON EQUITY,57.5,70.79,74.08,92.06
NAN KANG RUBBER TIRE - PRICE TO BOOK VAL,2.65,2.11,1.84,2.04
NIEN MADE ENTER - RETURN ON ASSETS,16.38,18,21.99,22.05
NIEN MADE ENTER - TOTAL DEBT % COMMON EQUITY,183.61,21.28,0,0
NIEN MADE ENTER - PRICE TO BOOK VAL,NA,3.5,7.3,7.75
NOVATEK MICROELECT - RETURN ON ASSETS,17.18,14.86,12.25,12.39
NOVATEK MICROELECT - TOTAL DEBT % COMMON EQUITY,22.54,12.43,11.41,8.23
NOVATEK MICROELECT - PRICE TO BOOK VAL,3.13,3.46,2.23,2.52
NAN YA PLASTIC - RETURN ON ASSETS,6.49,7.2,9.67,10.46
NAN YA PLASTIC - TOTAL DEBT % COMMON EQUITY,41.75,32.98,32.99,28.5
NAN YA PLASTIC - PRICE TO BOOK VAL,1.61,1.77,1.39,1.58
